Scenario,Category,Violation,Number of Offense,Sanction
A student was reported for wearing excessively short shorts while on campus.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student was reminded to follow the dress code after wearing a skirt that was too short.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student entered the cafeteria wearing shorts that were more than two inches above the knee.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was stopped at the entrance for wearing a skirt that did not meet the length requirement.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student was seen in class wearing shorts that were excessively high, violating dress code policies.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student was found attending an official event in a skirt that was deemed too short.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was reported for wearing shorts that were more than two inches above the knee during an exam.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student was caught wearing a skirt that was significantly above the knee, prompting a dress code reminder.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student attended a workshop in shorts that violated the university's dress code.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was reminded to adhere to the dress code after being spotted in a short skirt during classes.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student was caught wearing figure-hugging leggings during a lecture, prompting a dress code violation.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student attended a seminar in a crop top that was deemed inappropriate for the academic setting.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was seen in a fitted dress that violated the dress code during an official event.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
